index,DateTime,Open,Close,High,Low
0,20210419  23:15:00,0.8607,0.860785,0.86104,0.860525
1,20210420  00:00:00,0.860785,0.86056,0.86084,0.86053
2,20210420  01:00:00,0.86056,0.860705,0.86085,0.860355
3,20210420  02:00:00,0.860705,0.8608,0.861,0.860535
4,20210420  03:00:00,0.8608,0.860725,0.861415,0.86068
5,20210420  04:00:00,0.860725,0.861185,0.861225,0.860715
6,20210420  05:00:00,0.861185,0.86181,0.86192,0.86104
7,20210420  06:00:00,0.86181,0.86145,0.862255,0.861335
8,20210420  07:00:00,0.86145,0.86132,0.861835,0.861025
9,20210420  08:00:00,0.86132,0.86182,0.862465,0.86097
10,20210420  09:00:00,0.86182,0.862845,0.86288,0.861535
11,20210420  10:00:00,0.862845,0.863185,0.863205,0.861795
12,20210420  11:00:00,0.863185,0.862245,0.86339,0.861895
13,20210420  12:00:00,0.862245,0.862345,0.862785,0.861845
14,20210420  13:00:00,0.862345,0.86278,0.86303,0.861905
15,20210420  14:00:00,0.86278,0.86223,0.863245,0.862045
16,20210420  15:00:00,0.86223,0.862885,0.86317,0.862015
17,20210420  16:00:00,0.862885,0.863695,0.863895,0.862525
18,20210420  17:00:00,0.863695,0.863135,0.86433,0.86298
19,20210420  18:00:00,0.863135,0.86303,0.86334,0.86234
20,20210420  19:00:00,0.86303,0.862995,0.863325,0.862835
21,20210420  20:00:00,0.862995,0.86373,0.863735,0.862965
22,20210420  21:00:00,0.86373,0.863505,0.863745,0.863175
23,20210420  22:00:00,0.863505,0.86376,0.86376,0.86316
24,20210420  23:15:00,0.863425,0.863545,0.863815,0.863385
25,20210421  00:00:00,0.863545,0.863335,0.86367,0.863305
26,20210421  01:00:00,0.863335,0.863285,0.863585,0.863205
27,20210421  02:00:00,0.863285,0.863555,0.863685,0.86314
28,20210421  03:00:00,0.863555,0.863475,0.863725,0.863105
29,20210421  04:00:00,0.863475,0.86385,0.863895,0.863385
30,20210421  05:00:00,0.86385,0.86373,0.86391,0.863485
31,20210421  06:00:00,0.86373,0.86402,0.864085,0.8636
32,20210421  07:00:00,0.86402,0.86354,0.8642,0.86337
33,20210421  08:00:00,0.86354,0.86304,0.863695,0.86269
34,20210421  09:00:00,0.86304,0.86192,0.863525,0.861815
35,20210421  10:00:00,0.86192,0.86195,0.862185,0.861295
36,20210421  11:00:00,0.86195,0.861645,0.86257,0.861475
37,20210421  12:00:00,0.861645,0.86192,0.861975,0.861315
38,20210421  13:00:00,0.86192,0.862525,0.86268,0.86183
39,20210421  14:00:00,0.862525,0.863615,0.863785,0.86227
40,20210421  15:00:00,0.863615,0.86376,0.864455,0.863365
41,20210421  16:00:00,0.86376,0.86342,0.8638,0.862355
42,20210421  17:00:00,0.86342,0.863535,0.86395,0.86327
43,20210421  18:00:00,0.863535,0.863465,0.864085,0.863165
44,20210421  19:00:00,0.863465,0.86329,0.863725,0.863145
45,20210421  20:00:00,0.86329,0.863795,0.86381,0.863195
46,20210421  21:00:00,0.863795,0.864025,0.864055,0.86354
